"";"Rendimiento";"Cilindrada";"Desplazamiento";"Potencia";"Eje";"Peso";"Cuarto_milla";"Motor";"Transmision";"Cambios";"Carburadores"
"Mazda RX4";21;"6 cilindros ";160;110;3,9;2,62;16,46;"V";"Manual";"4 cambios";4
"Mazda RX4 Wag";21;"6 cilindros ";160;110;3,9;2,875;17,02;"V";"Manual";"4 cambios";4
"Datsun 710";22,8;"4 cilindros ";108;93;3,85;2,32;18,61;"Recto";"Manual";"4 cambios";1
"Hornet 4 Drive";21,4;"6 cilindros ";258;110;3,08;3,215;19,44;"Recto";"Automático";"3 cambios";1
"Hornet Sportabout";18,7;"8 cilindros";360;175;3,15;3,44;17,02;"V";"Automático";"3 cambios";2
"Valiant";18,1;"6 cilindros ";225;105;2,76;3,46;20,22;"Recto";"Automático";"3 cambios";1
"Duster 360";14,3;"8 cilindros";360;245;3,21;3,57;15,84;"V";"Automático";"3 cambios";4
"Merc 240D";24,4;"4 cilindros ";146,7;62;3,69;3,19;20;"Recto";"Automático";"4 cambios";2
"Merc 230";22,8;"4 cilindros ";140,8;95;3,92;3,15;22,9;"Recto";"Automático";"4 cambios";2
"Merc 280";19,2;"6 cilindros ";167,6;123;3,92;3,44;18,3;"Recto";"Automático";"4 cambios";4
"Merc 280C";17,8;"6 cilindros ";167,6;123;3,92;3,44;18,9;"Recto";"Automático";"4 cambios";4
"Merc 450SE";16,4;"8 cilindros";275,8;180;3,07;4,07;17,4;"V";"Automático";"3 cambios";3
"Merc 450SL";17,3;"8 cilindros";275,8;180;3,07;3,73;17,6;"V";"Automático";"3 cambios";3
"Merc 450SLC";15,2;"8 cilindros";275,8;180;3,07;3,78;18;"V";"Automático";"3 cambios";3
"Cadillac Fleetwood";10,4;"8 cilindros";472;205;2,93;5,25;17,98;"V";"Automático";"3 cambios";4
"Lincoln Continental";10,4;"8 cilindros";460;215;3;5,424;17,82;"V";"Automático";"3 cambios";4
"Chrysler Imperial";14,7;"8 cilindros";440;230;3,23;5,345;17,42;"V";"Automático";"3 cambios";4
"Fiat 128";32,4;"4 cilindros ";78,7;66;4,08;2,2;19,47;"Recto";"Manual";"4 cambios";1
"Honda Civic";30,4;"4 cilindros ";75,7;52;4,93;1,615;18,52;"Recto";"Manual";"4 cambios";2
"Toyota Corolla";33,9;"4 cilindros ";71,1;65;4,22;1,835;19,9;"Recto";"Manual";"4 cambios";1
"Toyota Corona";21,5;"4 cilindros ";120,1;97;3,7;2,465;20,01;"Recto";"Automático";"3 cambios";1
"Dodge Challenger";15,5;"8 cilindros";318;150;2,76;3,52;16,87;"V";"Automático";"3 cambios";2
"AMC Javelin";15,2;"8 cilindros";304;150;3,15;3,435;17,3;"V";"Automático";"3 cambios";2
"Camaro Z28";13,3;"8 cilindros";350;245;3,73;3,84;15,41;"V";"Automático";"3 cambios";4
"Pontiac Firebird";19,2;"8 cilindros";400;175;3,08;3,845;17,05;"V";"Automático";"3 cambios";2
"Fiat X1-9";27,3;"4 cilindros ";79;66;4,08;1,935;18,9;"Recto";"Manual";"4 cambios";1
"Porsche 914-2";26;"4 cilindros ";120,3;91;4,43;2,14;16,7;"V";"Manual";"5 cambios";2
"Lotus Europa";30,4;"4 cilindros ";95,1;113;3,77;1,513;16,9;"Recto";"Manual";"5 cambios";2
"Ford Pantera L";15,8;"8 cilindros";351;264;4,22;3,17;14,5;"V";"Manual";"5 cambios";4
"Ferrari Dino";19,7;"6 cilindros ";145;175;3,62;2,77;15,5;"V";"Manual";"5 cambios";6
"Maserati Bora";15;"8 cilindros";301;335;3,54;3,57;14,6;"V";"Manual";"5 cambios";8
"Volvo 142E";21,4;"4 cilindros ";121;109;4,11;2,78;18,6;"Recto";"Manual";"4 cambios";2
